Iteration number,Data misfit,Model misfit,Petrophysical misfit,Live cells count,Acceptance ratio,Log-likelihood ratio,Log-prior ratio,Log-petrophysical ratio
1,3.1600611448528597,13.877786050725238,0.0,1.0,4.657378279969151e-88,-8.4960898248187,-192.592945669704,0.0
2,3.161025720536171,0.0,0.010000000000436557,0.0,0.893298779715494,-0.112834174316367,0.0,-0.010000000000436557
3,3.161025720536171,0.0,0.250000000001819,0.0,0.629774334441589,-0.4623937230643165,0.0,-0.24000000000138244
4,3.13960417827127,13.878228616550174,0.0,0.0,1.0,2.3305621504523453,-0.012283863528153915,0.0
5,3.1356092748307374,14.021377623006291,0.0,0.0,0.027329491797226716,0.39401203944222196,-3.99380091370935,0.0
6,3.1337100561006874,14.116844672640793,0.0,0.0,0.0818036573481005,0.18283973900921957,-2.6862730645251816,0.0
7,3.1337100561006874,14.116844672640793,0.0,0.0,8.141609221714629e-23,-50.75572415377924,-0.1067451315227288,0.0
8,3.133493326165837,0.0,0.020000000000873114,0.0,1.0,0.02068137779946877,0.0,-0.010000000000436557
9,3.1133402209887824,14.117223950570903,0.0,0.0,1.0,1.75889680099107,-0.010708559105978566,0.0
10,3.113729920381403,14.11735509533001,0.0,0.0,0.9659591004997847,-0.030930967625601546,-0.0037028170674773264,0.0
11,3.113729920381403,14.11735509533001,2.579999999996217,0.0,0.47775431743295094,-0.7386586588896087,0.0,-2.5599999999953438
12,3.1086409223662983,14.117419843123532,0.0,0.0,1.0,0.3943547637134994,-0.0018281393778067923,0.0
13,3.1078827028597025,14.12084193703972,0.0,0.0,0.961124134367272,0.05698227756608665,-0.09663398384159905,0.0
14,3.1081477232739556,14.120867938675758,0.0,0.0,0.9796116520639662,-0.019864728597401626,-0.0007343306612881406,0.0
15,3.1070069498453647,14.139915970682077,0.0,0.0,0.635587998267675,0.08510758940714913,-0.5383123164291135,0.0
16,3.110232670403261,0.0,0.3800000000002183,0.0,0.7840005195893176,-0.24334559589047222,0.0,-0.3599999999993452
17,3.1162970575716855,0.0,2.9100000000033472,0.0,0.6187662532540665,-0.48002769755887176,0.0,-2.530000000003129
18,3.1166761846455393,14.14896801852153,0.0,0.0,0.7504671724827422,-0.03098703853272955,-0.25607233119498574,0.0
19,3.1186037398098394,14.148691364202907,0.0,0.0,0.8594231131493051,-0.15932258315939052,0.007828669675120636,0.0
20,3.1206896468168983,14.15426037077746,0.0,0.0,0.7164984431687462,-0.17575988025288503,-0.1576193242913746,0.0
21,3.1203164213920362,14.162463133770862,0.0,0.0,0.8182630081205966,0.03170390341961138,-0.23227537165755052,0.0
